,time,gain,t0_vol_ratio,symbol
2537,2026-01-23 06:00:00+00:00,187.89659224441837,8.326507836692157,ENSOUSDT
724,2026-01-01 11:00:00+00:00,187.61651131824232,24.786846100685448,A2ZUSDT
1674,2025-10-10 21:15:00+00:00,187.45348219032428,17.108663094001418,CHESSUSDT
380,2025-03-09 09:00:00+00:00,187.12871287128706,33.336413759553935,RAREUSDT
111,2025-11-04 05:15:00+00:00,186.94404591104737,9.100717018719019,ALCXUSDT
2672,2025-11-03 16:30:00+00:00,186.76771814829988,5.285900663216816,DCRUSDT
726,2026-01-01 11:45:00+00:00,186.66224286662242,5.216772186701748,A2ZUSDT
1568,2025-11-07 14:45:00+00:00,185.98848368522073,7.073010792922453,PYRUSDT
2700,2025-03-28 22:45:00+00:00,185.58006535947712,5.090728319084012,FUNUSDT
3039,2025-11-19 13:15:00+00:00,185.5329949238579,5.0226434697242865,DYMUSDT
3038,2025-11-19 13:00:00+00:00,185.171102661597,10.5917766300077,DYMUSDT
675,2025-11-07 10:00:00+00:00,185.0467289719626,13.019264899663483,FLUXUSDT
2600,2025-08-26 15:30:00+00:00,184.9710982658959,16.32462333067938,NMRUSDT
435,2025-09-05 02:15:00+00:00,183.7386742966142,9.430867524989907,REDUSDT
1154,2025-10-10 21:15:00+00:00,183.4959349593496,22.104611987708324,BANANAS31USDT
2702,2025-03-29 00:15:00+00:00,183.38062423996755,5.413098521733707,FUNUSDT
110,2025-11-04 05:00:00+00:00,183.28611898017,15.9418473913995,ALCXUSDT
436,2025-09-05 02:30:00+00:00,182.9964328180737,12.327691247049373,REDUSDT
114,2025-11-05 08:45:00+00:00,182.88543140028287,17.1561165473157,ALCXUSDT
1869,2025-07-16 22:15:00+00:00,181.1023622047244,6.4926200239621075,EPICUSDT
1454,2025-10-10 21:15:00+00:00,180.96885813148788,16.729266458984572,ONEUSDT
1495,2025-10-10 21:15:00+00:00,180.77858880778592,9.870721127705725,COOKIEUSDT
2566,2026-01-23 19:45:00+00:00,180.50490883590462,8.809463154579404,NOMUSDT
3042,2025-11-20 01:30:00+00:00,180.19925280199254,7.343701048351541,DYMUSDT
1868,2025-07-16 22:00:00+00:00,179.99999999999997,15.58390006227606,EPICUSDT
384,2025-03-09 10:30:00+00:00,179.9227799227799,5.900414326551959,RAREUSDT
1566,2025-11-06 15:30:00+00:00,179.75460122699388,16.916177988821936,PYRUSDT
2842,2025-08-10 17:15:00+00:00,179.49659150498164,18.129806582448197,CYBERUSDT
2249,2025-11-04 11:00:00+00:00,178.96191646191647,7.127291331143856,GIGGLEUSDT
2354,2025-04-13 19:45:00+00:00,178.8888888888889,13.520955267355413,OMUSDT
437,2025-09-05 02:45:00+00:00,178.16736792893875,13.474242203933125,REDUSDT
117,2025-11-05 10:15:00+00:00,178.16411682892905,7.2287820626176424,ALCXUSDT
324,2025-10-10 21:15:00+00:00,178.16091954022988,10.46331453241627,1000SATSUSDT
2405,2025-04-15 04:45:00+00:00,178.12685240071136,5.98790750079312,ARDRUSDT
3041,2025-11-20 00:00:00+00:00,178.1211372064277,5.792173008306361,DYMUSDT
2601,2025-08-26 15:45:00+00:00,177.90304396843294,9.757248378820364,NMRUSDT
727,2026-01-01 13:30:00+00:00,177.2785622593068,7.112937855954571,A2ZUSDT
590,2025-04-19 16:45:00+00:00,177.2602739726027,11.338600212072077,MAGICUSDT
1582,2025-09-18 17:45:00+00:00,177.09074733096085,6.0850185063745625,TUTUSDT
