symbol,date,tier,category,score,max_gain
1000XECUSDT,2025-09-06,B,NINJA,64,9.550851832731034
1000XECUSDT,2025-09-07,B,NINJA,72,8.26530612244898
1000XECUSDT,2025-09-17,B,NINJA,56,1.4236622484045336
1000XECUSDT,2025-09-18,B,NINJA,80,0.5381604696673037
1000XECUSDT,2025-09-21,B,NINJA,45,0.36175710594315014
1000XECUSDT,2025-09-29,B,NINJA,59,8.749999999999991
1000XECUSDT,2025-10-02,B,TREND,89,2.4077046548956815
1000XECUSDT,2025-10-07,B,NINJA,54,2.57126886528789
1000XECUSDT,2025-10-09,B,NINJA,43,2.2284122562674202
1000XECUSDT,2025-10-10,B,NINJA,54,14.613778705636737
1000XECUSDT,2025-10-19,B,NINJA,63,21.875
1000XECUSDT,2025-10-27,B,NINJA,60,1.4445173998686833
1000XECUSDT,2025-10-30,B,NINJA,54,4.005431093007461
1000XECUSDT,2025-10-31,B,NINJA,74,2.2696929238985364
1000XECUSDT,2025-11-06,B,NINJA,49,15.140045420136271
1000XECUSDT,2025-11-15,B,NINJA,39,1.3636363636363669
1000XECUSDT,2025-11-16,B,NINJA,33,2.3492560689115205
1000XECUSDT,2025-11-29,B,NINJA,61,1.8370607028753927
1000XECUSDT,2025-12-04,B,NINJA,78,2.821576763485467
1000XECUSDT,2025-12-07,B,NINJA,64,4.18445772843723
1000XECUSDT,2025-12-08,B,NINJA,64,3.82978723404257
1000XECUSDT,2025-12-10,B,NINJA,68,0.25706940874037354
1000XECUSDT,2025-12-12,B,NINJA,40,1.0600706713780994
1000XECUSDT,2025-12-13,B,NINJA,44,0.0
1000XECUSDT,2025-12-14,B,NINJA,45,1.8901890189019
1000XECUSDT,2025-12-25,B,NINJA,57,15.287244401168465
1INCHUSDT,2025-01-10,B+,NINJA,60,2.6550931835588543
1INCHUSDT,2025-01-11,B+,NINJA,64,4.224987039917072
1INCHUSDT,2025-01-12,B+,NINJA,66,6.291303198519693
1INCHUSDT,2025-01-22,B+,NINJA,48,0.18326206475258733
1INCHUSDT,2025-01-26,B+,NINJA,49,4.792537793502727
1INCHUSDT,2025-01-28,B+,NINJA,43,10.06756756756757
1INCHUSDT,2025-02-05,B+,NINJA,52,7.766615146831524
1INCHUSDT,2025-02-17,B+,NINJA,68,1.4354066985645897
1INCHUSDT,2025-02-19,B+,NINJA,68,3.453453453453448
1INCHUSDT,2025-02-20,B+,NINJA,77,2.4916325771662473
1INCHUSDT,2025-02-21,B+,NINJA,60,2.9969650986342966
1INCHUSDT,2025-02-23,B+,NINJA,74,0.37411148522259463
1INCHUSDT,2025-02-26,B+,NINJA,54,8.28157349896481
1INCHUSDT,2025-03-01,B+,NINJA,64,7.790601813685072
1INCHUSDT,2025-03-03,B+,NINJA,53,7.3595004460303315
1INCHUSDT,2025-03-06,B+,NINJA,66,1.8087855297157729
1INCHUSDT,2025-03-09,B+,NINJA,44,5.965909090909083
1INCHUSDT,2025-03-13,B+,NINJA,51,9.697280656747044
1INCHUSDT,2025-04-02,B+,NINJA,46,3.4482758620689724
1INCHUSDT,2025-04-04,B+,NINJA,50,0.6929637526652543
1INCHUSDT,2025-04-05,B+,NINJA,57,0.16251354279523955
1INCHUSDT,2025-04-10,B+,NINJA,60,7.627627627627631
1INCHUSDT,2025-04-17,B+,NINJA,41,23.90390390390391
1INCHUSDT,2025-04-18,B+,NINJA,63,22.567409144196947
1INCHUSDT,2025-04-19,B+,TREND,90,23.931623931623935
1INCHUSDT,2025-04-20,B+,TREND,81,24.928202182653635
1INCHUSDT,2025-04-25,B+,TREND,85,11.42418032786885
1INCHUSDT,2025-04-26,B+,TREND,92,6.0458313018040055
1INCHUSDT,2025-04-28,B+,TREND,72,7.831620166421915
1INCHUSDT,2025-05-01,B+,NINJA,65,18.38200095739588
1INCHUSDT,2025-05-06,B+,NINJA,46,32.78601694915253
1INCHUSDT,2025-05-09,B+,TREND,87,10.101010101010077
1INCHUSDT,2025-05-11,B+,TREND,74,7.090986757795803
1INCHUSDT,2025-05-14,B+,NINJA,70,4.443504020313149
1INCHUSDT,2025-05-16,B+,NINJA,40,9.300265721877764
1INCHUSDT,2025-05-20,B+,NINJA,64,9.49423247559893
1INCHUSDT,2025-05-22,B+,TREND,82,1.983471074380172
1INCHUSDT,2025-05-25,B+,NINJA,45,7.729681978798597
1INCHUSDT,2025-05-26,B+,NINJA,69,6.692913385826782
1INCHUSDT,2025-06-03,B+,NINJA,61,5.156537753222823
1INCHUSDT,2025-06-07,B+,NINJA,51,11.197663096397271
1INCHUSDT,2025-06-08,B+,NINJA,56,12.401574803149607
1INCHUSDT,2025-06-10,B+,TREND,87,0.04380201489269098
1INCHUSDT,2025-06-11,B+,TREND,76,0.13686131386860811
1INCHUSDT,2025-06-16,B+,NINJA,52,2.147239263803691
1INCHUSDT,2025-06-19,B+,NINJA,44,1.9796682718030922
1INCHUSDT,2025-06-28,B+,NINJA,53,16.60145332588039
1INCHUSDT,2025-06-30,B+,NINJA,64,33.31460674157305
1INCHUSDT,2025-07-07,B+,TREND,94,105.02617801047118
1INCHUSDT,2025-07-09,B+,TREND,88,84.02255639097747
1INCHUSDT,2025-07-10,B+,TREND,98,66.7092379736058
1INCHUSDT,2025-07-11,B+,TREND,89,32.521150592216586
1INCHUSDT,2025-07-18,B+,NINJA,42,5.061689338816833
1INCHUSDT,2025-07-20,B+,NINJA,51,4.073958006894385
1INCHUSDT,2025-07-21,B+,NINJA,56,0.4737839545167377
1INCHUSDT,2025-07-23,B+,NINJA,38,4.093154551870137
1INCHUSDT,2025-07-26,B+,NINJA,57,4.6099290780141855
1INCHUSDT,2025-07-27,B+,NINJA,68,1.1312992800822652
1INCHUSDT,2025-07-28,B+,NINJA,59,3.4763313609467605
1INCHUSDT,2025-07-31,B+,NINJA,41,20.10433386837882
1INCHUSDT,2025-08-03,B+,NINJA,62,19.24302788844623
1INCHUSDT,2025-08-13,B+,NINJA,71,2.0908435472242415
1INCHUSDT,2025-08-14,B+,NINJA,74,8.23483057525609
1INCHUSDT,2025-08-17,B+,NINJA,67,6.5554693560899935
1INCHUSDT,2025-08-21,B+,NINJA,66,10.855528652138835
1INCHUSDT,2025-08-25,B+,NINJA,46,9.266247379454938
1INCHUSDT,2025-08-27,B+,NINJA,55,4.4070512820512775
